child,parent,source
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,us-gaap:Assets,auto
us-gaap:CapitalLeasedAssetsGross,us-gaap:Assets,auto
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,us-gaap:Assets,auto
us-gaap:CashAndCashEquivalentsAtCarryingValue,us-gaap:CurrentAssets,auto
us-gaap:CashAndCashEquivalentsFairValueDisclosure,us-gaap:CurrentAssets,auto
us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap:CurrentAssets,auto
us-gaap:CommonStockCapitalSharesReservedForFutureIssuance,us-gaap:StockholdersEquity,auto
us-gaap:CommonStockParOrStatedValuePerShare,us-gaap:StockholdersEquity,auto
us-gaap:CommonStockSharesAuthorized,us-gaap:StockholdersEquity,auto
us-gaap:CommonStockSharesIssued,us-gaap:StockholdersEquity,auto
us-gaap:CommonStockSharesOutstanding,us-gaap:StockholdersEquity,auto
us-gaap:CommonStockValue,us-gaap:StockholdersEquity,auto
us-gaap:ContractWithCustomerLiability,us-gaap:Liabilities,auto
us-gaap:ContractWithCustomerLiabilityCurrent,us-gaap:Liabilities,auto
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,us-gaap:Liabilities,auto
us-gaap:CostOfGoodsSold,us-gaap:CostOfRevenue,auto
us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:DeferredIncomeTaxAssetsNet,us-gaap:Assets,auto
us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:DeferredIncomeTaxLiabilities,us-gaap:Liabilities,auto
us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:DeferredTaxAssetsCapitalLossCarryforwards,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsDeferredIncome,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsGross,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsInventory,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsLiabilitiesNet,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsLiabilitiesNetNoncurrent,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsNet,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsNetCurrent,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsNetNoncurrent,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsOperatingLossCarryforwards,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsOther,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxCreditCarryforwards,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsResearch,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsValuationAllowance,us-gaap:Assets,auto
us-gaap:DeferredTaxLiabilities,us-gaap:Liabilities,auto
us-gaap:DeferredTaxLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest,us-gaap:Liabilities,auto
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,us-gaap:Assets,auto
us-gaap:DeferredTaxLiabilitiesInvestments,us-gaap:Liabilities,auto
us-gaap:DeferredTaxLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:DeferredTaxLiabilitiesOther,us-gaap:Liabilities,auto
us-gaap:DeferredTaxLiabilitiesUndistributedForeignEarnings,us-gaap:Liabilities,auto
us-gaap:DepreciationAndAmortization,us-gaap:OperatingExpenses,auto
us-gaap:DerivativeLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:EmployeeRelatedLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:FairValueAssetsLevel1ToLevel2TransfersAmount,us-gaap:Assets,auto
us-gaap:FairValueAssetsLevel2ToLevel1TransfersAmount,us-gaap:Assets,auto
us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings,us-gaap:Assets,auto
us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,us-gaap:Assets,auto
us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,us-gaap:Assets,auto
us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,us-gaap:Assets,auto
us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,us-gaap:Assets,auto
us-gaap:FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,us-gaap:Assets,auto
us-gaap:FairValueNetAssetLiability,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAcquired,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpense,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsGross,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsNet,us-gaap:Assets,auto
us-gaap:FinitelivedIntangibleAssetsAcquired1,us-gaap:Assets,auto
us-gaap:ForeignCurrencyContractAssetFairValueDisclosure,us-gaap:Assets,auto
us-gaap:ForeignCurrencyContractsLiabilityFairValueDisclosure,us-gaap:Liabilities,auto
us-gaap:ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue,us-gaap:Assets,auto
us-gaap:ForeignCurrencyFairValueHedgeLiabilityAtFairValue,us-gaap:Liabilities,auto
us-gaap:ForeignIncomeTaxExpenseBenefitContinuingOperations,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:GainLossOnDispositionOfAssets1,us-gaap:Assets,auto
us-gaap:GainLossOnSaleOfOtherAssets,us-gaap:Assets,auto
us-gaap:ImpairmentOfIntangibleAssetsExcludingGoodwill,us-gaap:Assets,auto
us-gaap:IncomeLossFromSubsidiariesTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxExpenseBenefitContinuingOperations,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,us-gaap:Assets,auto
us-gaap:IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,us-gaap:Liabilities,auto
us-gaap:IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,us-gaap:Liabilities,auto
us-gaap:IncreaseDecreaseInOtherOperatingAssets,us-gaap:Assets,auto
us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,us-gaap:Assets,auto
us-gaap:IntangibleAssetsNetExcludingGoodwill,us-gaap:Assets,auto
us-gaap:InventoryNet,us-gaap:CurrentAssets,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDue,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearFive,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearFour,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearThree,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,us-gaap:Liabilities,auto
us-gaap:LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,us-gaap:Liabilities,auto
us-gaap:LiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:LiabilitiesFairValueDisclosure,us-gaap:Liabilities,auto
us-gaap:LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,us-gaap:Liabilities,auto
us-gaap:LongTermInvestments,us-gaap:NoncurrentAssets,auto
us-gaap:NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,us-gaap:Assets,auto
us-gaap:OperatingLeaseLiability,us-gaap:Liabilities,auto
us-gaap:OperatingLeaseLiabilityCurrent,us-gaap:Liabilities,auto
us-gaap:OperatingLeaseLiabilityNoncurrent,us-gaap:Liabilities,auto
us-gaap:OperatingLeaseRightOfUseAsset,us-gaap:Assets,auto
us-gaap:OperatingLeaseRightOfUseAssetAmortizationExpense,us-gaap:Assets,auto
us-gaap:OtherAccruedLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:OtherAssetsCurrent,us-gaap:Assets,auto
us-gaap:OtherAssetsFairValueDisclosure,us-gaap:Assets,auto
us-gaap:OtherAssetsMiscellaneousNoncurrent,us-gaap:Assets,auto
us-gaap:OtherAssetsNoncurrent,us-gaap:Assets,auto
us-gaap:OtherComprehensiveIncomeMinimumPensionLiabilityNetAdjustmentNetOfTax,us-gaap:Liabilities,auto
us-gaap:OtherFiniteLivedIntangibleAssetsGross,us-gaap:Assets,auto
us-gaap:OtherLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:OtherLiabilitiesFairValueDisclosure,us-gaap:Liabilities,auto
us-gaap:OtherLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:OtherSundryLiabilitiesCurrent,us-gaap:Liabilities,auto
us-gaap:PrepaidExpenseAndOtherAssetsCurrent,us-gaap:Assets,auto
us-gaap:ProceedsFromSaleOfOtherProductiveAssets,us-gaap:Assets,auto
us-gaap:PropertyPlantAndEquipmentNet,us-gaap:NoncurrentAssets,auto
us-gaap:ResearchAndDevelopmentExpense,us-gaap:OperatingExpenses,auto
us-gaap:ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,us-gaap:OperatingExpenses,auto
us-gaap:RetainedEarningsAccumulatedDeficit,us-gaap:StockholdersEquity,auto
us-gaap:RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,us-gaap:Assets,auto
us-gaap:SellingGeneralAndAdministrativeExpense,us-gaap:OperatingExpenses,auto
us-gaap:ShortTermInvestments,us-gaap:CurrentAssets,auto
us-gaap:TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiability,us-gaap:Liabilities,auto
us-gaap:TreasuryStockShares,us-gaap:StockholdersEquity,auto
us-gaap:TreasuryStockValue,us-gaap:StockholdersEquity,auto
us-gaap:ValuationAllowanceDeferredTaxAssetChangeInAmount,us-gaap:Assets,auto
us-gaap:LiabilitiesSubjectToCompromise,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseEarlyContractTerminationFees,us-gaap:Liabilities,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCapitalLeaseObligation,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssets,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:Assets,auto
us-gaap:DeferredIncomeTaxLiabilitiesNet,us-gaap:Liabilities,auto
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,us-gaap:Assets,auto
us-gaap:IntangibleAssetsGrossExcludingGoodwill,us-gaap:Assets,auto
us-gaap:TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityNoncurrent,us-gaap:Liabilities,auto
us-gaap:DeferredTaxAssetsInProcessResearchAndDevelopment,us-gaap:Assets,auto
us-gaap:TreasuryStockCommonShares,us-gaap:StockholdersEquity,auto
us-gaap:IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsForeign,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,us-gaap:Assets,auto
us-gaap:ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,us-gaap:Assets,auto
us-gaap:AccruedLiabilitiesCurrentAndNoncurrent,us-gaap:Liabilities,auto
us-gaap:CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,us-gaap:CurrentAssets,auto
us-gaap:AssetAcquisitionContingentConsiderationLiability,us-gaap:Assets,auto
us-gaap:OtherIncomeTaxExpenseBenefitContinuingOperations,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:AirTrafficLiabilityCurrent,us-gaap:Liabilities,auto
us-gaap:AssetsFairValueDisclosureRecurring,us-gaap:Assets,auto
us-gaap:BusinessCombinationContingentConsiderationLiability,us-gaap:Liabilities,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,us-gaap:Assets,auto
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:Assets,auto
us-gaap:CapitalLeasesBalanceSheetAssetsByMajorClassNet,us-gaap:Assets,auto
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentAccumulatedDepreciation,us-gaap:Assets,auto
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentGross,us-gaap:Assets,auto
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentNet,us-gaap:Assets,auto
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipment,us-gaap:Assets,auto
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipmentNet,us-gaap:Assets,auto
us-gaap:CashFlowHedgeDerivativeInstrumentAssetsAtFairValue,us-gaap:Assets,auto
us-gaap:CashFlowHedgeDerivativeInstrumentLiabilitiesAtFairValue,us-gaap:Liabilities,auto
us-gaap:CommonStockDividendsPerShareCashPaid,us-gaap:StockholdersEquity,auto
us-gaap:CommonStockDividendsPerShareDeclared,us-gaap:StockholdersEquity,auto
us-gaap:ContractualInterestExpenseOnPrepetitionLiabilitiesNotRecognizedInStatementOfOperations,us-gaap:Liabilities,auto
us-gaap:ContractWithCustomerLiabilityNoncurrent,us-gaap:Liabilities,auto
us-gaap:CostOfServicesCatering,us-gaap:CostOfRevenue,auto
us-gaap:DeferredCompensationLiabilityCurrentAndNoncurrent,us-gaap:Liabilities,auto
us-gaap:DeferredCreditsAndOtherLiabilities,us-gaap:Liabilities,auto
us-gaap:DeferredCreditsAndOtherLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:DeferredTaxAssetsDeferredGainOnSaleLeasebackTransaction,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsFrequentFlierLiability,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsOther,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,us-gaap:Assets,auto
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,us-gaap:Assets,auto
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,us-gaap:Assets,auto
us-gaap:DeferredTaxLiabilitiesLeasingArrangements,us-gaap:Liabilities,auto
us-gaap:DefinedBenefitPlanAssetsTransferredToFromPlan,us-gaap:Assets,auto
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,us-gaap:Assets,auto
us-gaap:DefinedBenefitPlanFairValueOfPlanAssets,us-gaap:Assets,auto
us-gaap:DefinedBenefitPlanForeignCurrencyExchangeRateChangesPlanAssets,us-gaap:Assets,auto
us-gaap:DerivativeAssetCollateralObligationToReturnCashOffset,us-gaap:Assets,auto
us-gaap:DerivativeFairValueOfDerivativeAsset,us-gaap:Assets,auto
us-gaap:DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,us-gaap:Assets,auto
us-gaap:DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseInterestPaymentOnLiability,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiability,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityCurrent,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityNoncurrent,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDue,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDueAfterYearFive,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDueYearFive,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDueYearFour,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDueYearThree,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityPaymentsDueYearTwo,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseLiabilityUndiscountedExcessAmount,us-gaap:Liabilities,auto
us-gaap:FinanceLeaseRightOfUseAsset,us-gaap:Assets,auto
us-gaap:FinanceLeaseRightOfUseAssetAccumulatedAmortization,us-gaap:Assets,auto
us-gaap:FinanceLeaseRightOfUseAssetAmortization,us-gaap:Assets,auto
us-gaap:FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,us-gaap:Assets,auto
us-gaap:FiniteLivedIntangibleAssetsUsefulLife,us-gaap:Assets,auto
us-gaap:FrequentFlierLiabilityCurrent,us-gaap:Liabilities,auto
us-gaap:FrequentFlierLiabilityNoncurrent,us-gaap:Liabilities,auto
us-gaap:GainLossOnDispositionOfAssets,us-gaap:Assets,auto
us-gaap:GainLossOnDispositionOfIntangibleAssets,us-gaap:Assets,auto
us-gaap:GainsLossesOnSalesOfAssets,us-gaap:Assets,auto
us-gaap:ImpairmentOfLongLivedAssetsToBeDisposedOf,us-gaap:Assets,auto
us-gaap:IncreaseDecreaseInAirTrafficLiability,us-gaap:Liabilities,auto
us-gaap:IncreaseDecreaseInAirTrafficLiability1,us-gaap:Liabilities,auto
us-gaap:IncreaseDecreaseInCommodityContractAssetsAndLiabilities,us-gaap:Assets,auto
us-gaap:IncreaseDecreaseInFrequentFlyerLiability,us-gaap:Liabilities,auto
us-gaap:IncreaseDecreaseInOtherCurrentAssets,us-gaap:Assets,auto
us-gaap:IndefiniteLivedIntangibleAssets,us-gaap:Assets,auto
us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,us-gaap:Assets,auto
us-gaap:LiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseAccountsPayableAndAccruedLiabilities,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseAircraftObligationsAndDeferredGains,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseDebtAndAccruedInterest,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseEmployeeAndDeemedClaims,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseOtherLiabilities,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromisePensionAndOtherPostretirementObligations,us-gaap:Liabilities,auto
us-gaap:LiabilitiesSubjectToCompromiseProvisionForExpectedAndAllowedClaims,us-gaap:Liabilities,auto
us-gaap:NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,us-gaap:Assets,auto
us-gaap:NoncurrentAssets,us-gaap:Assets,auto
us-gaap:OtherAccruedLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:OtherAssets,us-gaap:Assets,auto
us-gaap:OtherNoncurrentLiabilities,us-gaap:Liabilities,auto
us-gaap:OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:OtherTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:PaymentsForProceedsFromProductiveAssets,us-gaap:Assets,auto
us-gaap:PaymentsToAcquireProductiveAssets,us-gaap:Assets,auto
us-gaap:PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,us-gaap:Liabilities,auto
us-gaap:PreferredStockDividendRatePercentage,us-gaap:StockholdersEquity,auto
us-gaap:PreferredStockParOrStatedValuePerShare,us-gaap:StockholdersEquity,auto
us-gaap:PreferredStockSharesAuthorized,us-gaap:StockholdersEquity,auto
us-gaap:PreferredStockSharesIssued,us-gaap:StockholdersEquity,auto
us-gaap:PreferredStockValue,us-gaap:StockholdersEquity,auto
us-gaap:PrepaidExpenseAndOtherAssetsNoncurrent,us-gaap:Assets,auto
us-gaap:ProceedsFromSaleOfIntangibleAssets,us-gaap:Assets,auto
us-gaap:ProceedsFromSaleOfOtherAssets1,us-gaap:Assets,auto
us-gaap:ProceedsFromSaleOfProductiveAssets,us-gaap:Assets,auto
