child,parent,source
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentGross,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentNet,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentOther,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentUsefulLifeMaximum,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentUsefulLifeMinimum,us-gaap:NoncurrentAssets,auto-freq
us-gaap:ResearchAndDevelopmentExpense,us-gaap:OperatingExpenses,auto-freq
us-gaap:ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,us-gaap:OperatingExpenses,auto-freq
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:Revenues,auto-freq
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,us-gaap:Revenues,auto-freq
us-gaap:SalesRevenueNet,us-gaap:Revenues,auto-freq
us-gaap:SellingGeneralAndAdministrativeExpense,us-gaap:OperatingExpenses,auto-freq
